INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
262000862,617,,LARCENY THEFT FROM BUILDING,A15,58,0,2026-01-04 14:19:00+00,2026,1,Sunday   ,14,,AUSTIN ST,42.37479404,-71.06600914,"(42.37479403548097, -71.06600913663767)"
262000853,1102,,FRAUD - FALSE PRETENSE / SCHEME,E5,714,0,2026-01-04 14:21:00+00,2026,1,Sunday   ,14,,SALMAN ST,42.26244884,-71.16587395,"(42.262448841084606, -71.16587394717159)"
262000856,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,778,0,2026-01-04 14:31:00+00,2026,1,Sunday   ,14,,WASHINGTON ST,42.34905564,-71.15049917,"(42.34905564195639, -71.1504991731562)"
262000865,613,,LARCENY SHOPLIFTING,C11,247,0,2026-01-04 14:54:00+00,2026,1,Sunday   ,14,,DORCHESTER AVE,42.31322365,-71.05715332,"(42.31322365348008, -71.0571533161321)"
262000863,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,686,0,2026-01-04 15:02:00+00,2026,1,Sunday   ,15,,MONTVALE ST,42.28561966,-71.14580053,"(42.285619655022764, -71.14580052813781)"
262000874,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,807,0,2026-01-04 15:08:00+00,2026,1,Sunday   ,15,,LITCHFIELD ST,42.36210107,-71.13964926,"(42.36210107377869, -71.1396492560462)"
262000869,3115,,INVESTIGATE PERSON,E18,525,0,2026-01-04 15:08:00+00,2026,1,Sunday   ,15,,TRUMAN PKWY,42.24124893,-71.12629993,"(42.24124892522304, -71.12629992589298)"
262000864,613,,LARCENY SHOPLIFTING,C11,356,0,2026-01-04 15:10:00+00,2026,1,Sunday   ,15,,GENEVA AVE,42.29848819,-71.06313353,"(42.29848819292919, -71.06313353185703)"
262000871,1831,,SICK ASSIST,B2,315,0,2026-01-04 15:14:00+00,2026,1,Sunday   ,15,,HUMBOLDT AVE,42.3152109,-71.08783653,"(42.315210901126605, -71.08783653263957)"
262001426,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,A1,81,0,2026-01-04 15:30:00+00,2026,1,Sunday   ,15,,"COMMERCIAL ST & HULL ST
BOSTON, MA 02113
UNITED ST",42.36775256,-71.05738646,"(42.36775255755928, -71.0573864634453)"
262000879,613,,LARCENY SHOPLIFTING,D4,143,0,2026-01-04 15:34:00+00,2026,1,Sunday   ,15,,BOYLSTON ST,42.34862337,-71.08277689,"(42.34862336851335, -71.08277689315231)"
262000875,3115,,INVESTIGATE PERSON,D14,759,0,2026-01-04 15:50:00+00,2026,1,Sunday   ,15,,HARDWICK ST,42.35464937,-71.16555104,"(42.354649372849664, -71.16555104054939)"
262000876,613,,LARCENY SHOPLIFTING,A1,104,0,2026-01-04 15:54:00+00,2026,1,Sunday   ,15,,WASHINGTON ST,42.35648583,-71.0592819,"(42.35648582614597, -71.05928190137298)"
262001313,3114,,INVESTIGATE PROPERTY,B2,292,0,2026-01-04 16:00:00+00,2026,1,Sunday   ,16,,BARTLETT ST,42.3293363,-71.08997378,"(42.329336299898515, -71.08997378295784)"
262000890,2647,,THREATS TO DO BODILY HARM,C11,355,0,2026-01-04 16:12:00+00,2026,1,Sunday   ,16,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
262000877,3114,,INVESTIGATE PROPERTY,B2,320,0,2026-01-04 16:20:00+00,2026,1,Sunday   ,16,,HARTWELL ST,42.30936336,-71.08416839,"(42.309363360016896, -71.08416838572143)"
262000878,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D4,167,0,2026-01-04 16:22:00+00,2026,1,Sunday   ,16,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
262000883,613,,LARCENY SHOPLIFTING,C6,186,0,2026-01-04 16:23:00+00,2026,1,Sunday   ,16,,ALLSTATE RD,42.32809919,-71.06321728,"(42.328099189441325, -71.0632172846628)"
262000886,3115,,INVESTIGATE PERSON,A7,27,0,2026-01-04 16:24:00+00,2026,1,Sunday   ,16,,SUMNER ST,42.36996349,-71.04221848,"(42.36996348847599, -71.04221848161447)"
262000895,3410,,TOWED MOTOR VEHICLE,A7,26,0,2026-01-04 16:31:00+00,2026,1,Sunday   ,16,,"MERIDIAN ST & FALCON ST
EAST BOSTON, MA 02128
UNIT",42.38197951,-71.03929332,"(42.38197950689066, -71.03929331618377)"
262000891,2905,,VAL - VIOLATION OF AUTO LAW,C11,356,0,2026-01-04 16:40:00+00,2026,1,Sunday   ,16,,GENEVA AVE,42.29848819,-71.06313353,"(42.29848819292919, -71.06313353185703)"
262000897,3108,,FIRE REPORT,E13,307,0,2026-01-04 16:41:00+00,2026,1,Sunday   ,16,,WALNUT PARK,42.31523694,-71.09596557,"(42.31523693991534, -71.09596556849473)"
262001048,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,167,0,2026-01-04 17:00:00+00,2026,1,Sunday   ,17,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
262000896,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,271,0,2026-01-04 17:07:00+00,2026,1,Sunday   ,17,,MASSACHUSETTS AVE & WASHINGTON ST,42.33648952,-71.07705055,"(42.33648951851881, -71.07705054562885)"
262000898,2610,,TRESPASSING,C6,213,0,2026-01-04 17:24:00+00,2026,1,Sunday   ,17,,W BROADWAY,42.3361115,-71.04665481,"(42.336111501898934, -71.04665481129499)"
262000900,724,,AUTO THEFT,D4,155,0,2026-01-04 17:33:00+00,2026,1,Sunday   ,17,,TREMONT ST,42.33952711,-71.08000035,"(42.33952710732185, -71.08000035108704)"
262000901,3207,,PROPERTY - FOUND,A1,77,0,2026-01-04 17:35:00+00,2026,1,Sunday   ,17,,SUDBURY ST,,,
262000899,3801,,M/V ACCIDENT - OTHER,B2,281,0,2026-01-04 17:39:00+00,2026,1,Sunday   ,17,,MOUNT PLEASANT AVE,42.32819413,-71.07933486,"(42.328194133800686, -71.07933485506244)"
262000904,3115,,INVESTIGATE PERSON,B2,259,0,2026-01-04 17:46:00+00,2026,1,Sunday   ,17,,MAGNOLIA ST,42.31258233,-71.07290507,"(42.312582326837955, -71.07290507017238)"
262000923,2905,,VAL - VIOLATION OF AUTO LAW,E18,495,0,2026-01-04 17:52:00+00,2026,1,Sunday   ,17,,"HYDE PARK AVE & WEST ST
BOSTON, MA 02136
UNITED ST",42.26160061,-71.12216878,"(42.26160060976986, -71.12216877800182)"
262000905,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,103,0,2026-01-04 17:53:00+00,2026,1,Sunday   ,17,,WASHINGTON ST,42.35701776,-71.05870622,"(42.35701775857656, -71.05870622027618)"
262000910,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,111,0,2026-01-04 17:58:00+00,2026,1,Sunday   ,17,,"WASHINGTON ST & TEMPLE PL
BOSTON, MA 02111
UNITED ",42.35481952,-71.06121042,"(42.354819515366614, -71.06121042281242)"
262001198,619,,LARCENY ALL OTHERS,C11,355,0,2026-01-04 18:00:00+00,2026,1,Sunday   ,18,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
262000912,3114,,INVESTIGATE PROPERTY,E18,492,0,2026-01-04 18:03:00+00,2026,1,Sunday   ,18,,WOOD AVE,42.26839945,-71.11127421,"(42.26839945074278, -71.1112742141725)"
262000909,423,,ASSAULT - AGGRAVATED,D14,777,0,2026-01-04 18:04:00+00,2026,1,Sunday   ,18,,MONASTERY RD,42.34575053,-71.14658131,"(42.34575053231682, -71.14658130838237)"
262000908,3801,,M/V ACCIDENT - OTHER,A1,85,0,2026-01-04 18:14:00+00,2026,1,Sunday   ,18,,"THACHER ST & ENDICOTT ST
BOSTON, MA 02113
UNITED S",42.3653255,-71.05741741,"(42.36532549757655, -71.05741741336429)"
262000927,3205,,M/V PLATES - LOST,E5,691,0,2026-01-04 18:15:00+00,2026,1,Sunday   ,18,,CENTRE ST,42.2870932,-71.14822209,"(42.28709320338153, -71.14822209118665)"
262000918,423,,ASSAULT - AGGRAVATED,B3,432,0,2026-01-04 18:16:00+00,2026,1,Sunday   ,18,,JONES AVE,42.28622599,-71.08378321,"(42.286225994427035, -71.0837832077111)"
262000906,2905,,VAL - VIOLATION OF AUTO LAW,A7,12,0,2026-01-04 18:21:00+00,2026,1,Sunday   ,18,,"SARATOGA ST & TRIDENT ST
EAST BOSTON, MA 02128
UNI",42.38612143,-71.01085622,"(42.38612143468876, -71.01085622133371)"
262000917,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C6,186,0,2026-01-04 18:31:00+00,2026,1,Sunday   ,18,,MASSACHUSETTS AVE,42.32553754,-71.06579645,"(42.32553754017519, -71.06579645470285)"
262000919,613,,LARCENY SHOPLIFTING,D4,143,0,2026-01-04 18:34:00+00,2026,1,Sunday   ,18,,BOYLSTON ST,42.34932426,-71.08014853,"(42.34932426228881, -71.08014852728094)"
262001481,3115,,INVESTIGATE PERSON,E13,574,0,2026-01-04 18:36:00+00,2026,1,Sunday   ,18,,WASHINGTON ST,42.30971815,-71.10429498,"(42.30971815419562, -71.10429497557632)"
262000915,3803,,M/V ACCIDENT - PERSONAL INJURY,A7,15,0,2026-01-04 18:37:00+00,2026,1,Sunday   ,18,,"SWIFT ST & SARATOGA ST
EAST BOSTON, MA 02128
UNITE",42.38173344,-71.02264237,"(42.381733436016184, -71.02264236756321)"
262000924,1831,,SICK ASSIST,D4,165,0,2026-01-04 18:38:00+00,2026,1,Sunday   ,18,,HARRISON AVE,42.34329748,-71.06458146,"(42.34329747551769, -71.0645814575635)"
262001092,2647,,THREATS TO DO BODILY HARM,B2,611,0,2026-01-04 19:00:00+00,2026,1,Sunday   ,19,,HUNTINGTON AVE,42.33326282,-71.10848472,"(42.33326281928001, -71.10848471597865)"
262000929,3115,,INVESTIGATE PERSON,B2,613,0,2026-01-04 19:04:00+00,2026,1,Sunday   ,19,,JOSLIN PL,42.33844245,-71.10859968,"(42.33844245000351, -71.10859968076649)"
262000926,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2026-01-04 19:11:00+00,2026,1,Sunday   ,19,,BLUE HILL AVE,42.28482534,-71.09137437,"(42.28482533772862, -71.09137437366408)"
262000933,3115,,INVESTIGATE PERSON,D4,284,0,2026-01-04 19:12:00+00,2026,1,Sunday   ,19,,NORTHAMPTON ST,42.34055708,-71.08337221,"(42.34055707824319, -71.0833722091564)"
262000932,613,,LARCENY SHOPLIFTING,A7,24,0,2026-01-04 19:17:00+00,2026,1,Sunday   ,19,,MERIDIAN ST,42.37901448,-71.039207,"(42.3790144750501, -71.0392069993016)"
262000935,3803,,M/V ACCIDENT - PERSONAL INJURY,B2,318,0,2026-01-04 19:40:00+00,2026,1,Sunday   ,19,,"HUTCHINGS ST & HUMBOLDT AVE
ROXBURY, MA 02121
UNIT",42.31116559,-71.09108967,"(42.3111655880109, -71.09108966535491)"
262000937,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D4,151,0,2026-01-04 19:41:00+00,2026,1,Sunday   ,19,,BERKELEY ST,42.34605464,-71.07050719,"(42.346054636512875, -71.07050718597092)"
262000938,3115,,INVESTIGATE PERSON,D4,148,0,2026-01-04 19:48:00+00,2026,1,Sunday   ,19,,"COLUMBUS AVE & GREENWICH PARK
BOSTON, MA 02118
UNI",42.34216655,-71.0798385,"(42.34216655057157, -71.07983850412758)"
262000955,3115,,INVESTIGATE PERSON,D4,621,0,2026-01-04 19:57:00+00,2026,1,Sunday   ,19,,NEWBURY ST,42.34807394,-71.08985354,"(42.34807394463005, -71.08985354223393)"
262000954,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C11,355,0,2026-01-04 20:07:00+00,2026,1,Sunday   ,20,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
262000942,613,,LARCENY SHOPLIFTING,A1,111,0,2026-01-04 20:15:00+00,2026,1,Sunday   ,20,,WASHINGTON ST,42.352729,-71.06256338,"(42.352729000406285, -71.062563376214)"
262000948,3115,,INVESTIGATE PERSON,C11,345,0,2026-01-04 20:38:00+00,2026,1,Sunday   ,20,,RIDGEWOOD ST,42.30209396,-71.06575242,"(42.302093959697146, -71.06575242055399)"
262000951,1831,,SICK ASSIST,E18,491,0,2026-01-04 20:42:00+00,2026,1,Sunday   ,20,,TACOMA ST,42.26824687,-71.11325383,"(42.26824686966093, -71.11325382926292)"
262000949,3115,,INVESTIGATE PERSON,E13,633,0,2026-01-04 20:48:00+00,2026,1,Sunday   ,20,,JAMAICAWAY,42.319335,-71.11706947,"(42.319334999681224, -71.11706946865819)"
262001011,3007,,SUDDEN DEATH,A1,116,0,2026-01-04 21:00:00+00,2026,1,Sunday   ,21,,OXFORD ST,42.35193413,-71.06048639,"(42.35193412835521, -71.06048638707978)"
262000953,2647,,THREATS TO DO BODILY HARM,B2,286,0,2026-01-04 21:17:00+00,2026,1,Sunday   ,21,,RAYNOR CIR,42.3344675,-71.08655121,"(42.33446749526119, -71.08655120626867)"
262001252,3115,,INVESTIGATE PERSON,E5,691,0,2026-01-04 21:20:00+00,2026,1,Sunday   ,21,,CENTRE ST,42.2870932,-71.14822209,"(42.28709320338153, -71.14822209118665)"
262000963,3801,,M/V ACCIDENT - OTHER,B2,264,0,2026-01-04 21:23:00+00,2026,1,Sunday   ,21,,"WAVERLY ST & BLUE HILL AVE
ROXBURY, MA 02119
UNITE",42.31987253,-71.07776952,"(42.31987252808796, -71.07776951872854)"
262000956,3201,,PROPERTY - LOST/ MISSING,A7,16,0,2026-01-04 21:55:00+00,2026,1,Sunday   ,21,,E EAGLE ST,42.38132453,-71.02804042,"(42.38132453142911, -71.02804042233107)"
262001007,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,291,0,2026-01-04 22:00:00+00,2026,1,Sunday   ,22,,HIGHLAND AVE,42.32910415,-71.0929232,"(42.32910414590127, -71.09292319728355)"
262000969,1831,,SICK ASSIST,C11,334,0,2026-01-04 22:13:00+00,2026,1,Sunday   ,22,,HANCOCK ST,42.31222959,-71.06391423,"(42.31222958687422, -71.06391422892068)"
262000967,1831,,SICK ASSIST,D14,793,0,2026-01-04 22:27:00+00,2026,1,Sunday   ,22,,KELTON ST,42.34650064,-71.13612857,"(42.346500637736, -71.13612856952635)"
262000971,3007,,SUDDEN DEATH,E5,720,0,2026-01-04 22:41:00+00,2026,1,Sunday   ,22,,LORETTE ST,42.27937266,-71.16014817,"(42.27937266334047, -71.16014816690323)"
262000974,1300,,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,B3,452,1,2026-01-04 22:42:00+00,2026,1,Sunday   ,22,,MERLIN ST,42.29572187,-71.07505219,"(42.29572186974766, -71.07505219469341)"
262000972,3114,,INVESTIGATE PROPERTY,B3,452,1,2026-01-04 22:42:00+00,2026,1,Sunday   ,22,,MERLIN ST,42.29572187,-71.07505219,"(42.29572186974766, -71.07505219469341)"
262000970,3801,,M/V ACCIDENT - OTHER,C11,336,0,2026-01-04 22:44:00+00,2026,1,Sunday   ,22,,BOWDOIN ST,42.30465851,-71.06912662,"(42.304658513149484, -71.0691266173836)"
262000975,3006,,SICK/INJURED/MEDICAL - PERSON,C11,368,0,2026-01-04 22:53:00+00,2026,1,Sunday   ,22,,QUEEN ST,42.29366021,-71.05305282,"(42.29366021470313, -71.0530528208343)"
262000979,3115,,INVESTIGATE PERSON,D4,171,0,2026-01-04 23:13:00+00,2026,1,Sunday   ,23,,HARRISON AVE,42.33534483,-71.07462858,"(42.335344833733444, -71.07462858277367)"
262000978,801,,ASSAULT - SIMPLE,E18,501,0,2026-01-04 23:35:00+00,2026,1,Sunday   ,23,,CUMMINS HWY,42.27969551,-71.11832903,"(42.279695505088256, -71.11832902911553)"
262000987,3007,,SUDDEN DEATH,A1,117,0,2026-01-04 23:56:00+00,2026,1,Sunday   ,23,,BOYLSTON ST,42.35231142,-71.06370557,"(42.35231142441357, -71.06370557218405)"
262000984,3115,,INVESTIGATE PERSON,B3,415,0,2026-01-05 00:00:00+00,2026,1,Monday   ,0,,CODMAN HILL AVE,42.27969084,-71.07144387,"(42.27969083651839, -71.07144387444148)"
262001236,3114,,INVESTIGATE PROPERTY,E5,691,0,2026-01-05 00:00:00+00,2026,1,Monday   ,0,,CENTRE ST,42.2870932,-71.14822209,"(42.28709320338153, -71.14822209118665)"
262000983,3115,,INVESTIGATE PERSON,A7,12,0,2026-01-05 00:00:00+00,2026,1,Monday   ,0,,BOARDMAN ST,42.39001072,-71.01170341,"(42.39001071534092, -71.01170340612633)"
262001100,1106,,FRAUD - CREDIT CARD / ATM FRAUD,D4,167,0,2026-01-05 00:00:00+00,2026,1,Monday   ,0,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
262001010,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,635,0,2026-01-05 00:00:00+00,2026,1,Monday   ,0,,"MORAINE ST & POND VIEW AVE
JAMAICA PLAIN, MA 02130",42.31992756,-71.11565872,"(42.319927560282956, -71.11565871660797)"
262001235,3114,,INVESTIGATE PROPERTY,E5,691,0,2026-01-05 00:00:00+00,2026,1,Monday   ,0,,CENTRE ST,42.2870932,-71.14822209,"(42.28709320338153, -71.14822209118665)"
262001109,1831,,SICK ASSIST,A1,65,0,2026-01-05 00:00:00+00,2026,1,Monday   ,0,,STANIFORD ST,42.36243389,-71.06391855,"(42.36243389220854, -71.06391854793503)"
262001056,2647,,THREATS TO DO BODILY HARM,B2,281,0,2026-01-05 00:00:00+00,2026,1,Monday   ,0,,MORELAND ST,42.32492283,-71.0806911,"(42.32492283438057, -71.08069109639642)"
262000988,3301,,VERBAL DISPUTE,D14,775,0,2026-01-05 00:01:00+00,2026,1,Monday   ,0,,WALLINGFORD RD,42.3413491,-71.15122864,"(42.34134910099493, -71.151228641204)"
262000980,111,,"MURDER, NON-NEGLIGENT MANSLAUGHTER",B3,420,1,2026-01-05 00:10:00+00,2026,1,Monday   ,0,,STOW RD,42.27783614,-71.08320431,"(42.277836141871205, -71.08320430551876)"
262000981,3502,,MISSING PERSON - LOCATED,C11,357,0,2026-01-05 00:17:00+00,2026,1,Monday   ,0,,TONAWANDA ST,42.29754612,-71.07111754,"(42.29754611717737, -71.07111754010863)"
262000989,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,60,0,2026-01-05 01:27:00+00,2026,1,Monday   ,1,,"RUTHERFORD AVE & ARROW ST
CHARLESTOWN, MA 02129
UN",42.37270549,-71.06412739,"(42.37270549359753, -71.06412739002653)"
262001001,801,,ASSAULT - SIMPLE,D14,815,0,2026-01-05 02:00:00+00,2026,1,Monday   ,2,,BAYARD ST,42.36093884,-71.1301779,"(42.36093884473539, -71.13017789582572)"
262000991,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4,619,0,2026-01-05 02:09:00+00,2026,1,Monday   ,2,,HUNTINGTON AVE,42.34221499,-71.08577129,"(42.34221499264765, -71.08577128990122)"
262001114,3115,,INVESTIGATE PERSON,D4,171,0,2026-01-05 02:10:00+00,2026,1,Monday   ,2,,ALBANY ST,42.33428795,-71.07239571,"(42.334287947313456, -71.07239570643029)"
262000994,1831,,SICK ASSIST,E13,570,0,2026-01-05 04:29:00+00,2026,1,Monday   ,4,,WASHINGTON ST,42.30859862,-71.10539263,"(42.30859861734287, -71.10539263397384)"
262000996,3115,,INVESTIGATE PERSON,D4,166,0,2026-01-05 04:46:00+00,2026,1,Monday   ,4,,"WALTHAM ST & WASHINGTON ST
BOSTON, MA 02118
UNITED",42.34166949,-71.06880047,"(42.341669490652784, -71.06880047347302)"
262001177,1831,,SICK ASSIST,E5,746,0,2026-01-05 05:04:00+00,2026,1,Monday   ,5,,LAGRANGE ST,42.29507561,-71.1714725,"(42.29507561163179, -71.17147249638491)"
262001005,3006,,SICK/INJURED/MEDICAL - PERSON,D14,778,0,2026-01-05 05:36:00+00,2026,1,Monday   ,5,,MARKET ST,42.34972093,-71.15319519,"(42.349720927330914, -71.15319519460199)"
262000998,801,,ASSAULT - SIMPLE,E13,570,0,2026-01-05 06:08:00+00,2026,1,Monday   ,6,,WASHINGTON ST,42.30859862,-71.10539263,"(42.30859861734287, -71.10539263397384)"
262000999,3114,,INVESTIGATE PROPERTY,D4,619,0,2026-01-05 06:41:00+00,2026,1,Monday   ,6,,MASSACHUSETTS AVE,42.34309038,-71.08540806,"(42.34309037857915, -71.08540805905491)"
262001006,3410,,TOWED MOTOR VEHICLE,D14,788,0,2026-01-05 07:42:00+00,2026,1,Monday   ,7,,CHISWICK RD,42.33928787,-71.15006893,"(42.33928787119645, -71.15006893335632)"
262001004,3410,,TOWED MOTOR VEHICLE,C11,358,0,2026-01-05 08:17:00+00,2026,1,Monday   ,8,,"PARK ST & GENEVA AVE
DORCHESTER, MA 02124
UNITED S",42.2980905,-71.06246761,"(42.29809049705344, -71.06246760511561)"
262001037,3410,,TOWED MOTOR VEHICLE,A7,27,0,2026-01-05 08:30:00+00,2026,1,Monday   ,8,,PARIS ST,42.36989954,-71.04003516,"(42.369899543058935, -71.04003515692324)"
262001146,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,328,0,2026-01-05 08:30:00+00,2026,1,Monday   ,8,,LAWRENCE AVE,42.31161077,-71.07625659,"(42.31161077430057, -71.07625658663385)"
262001323,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,778,0,2026-01-05 08:45:00+00,2026,1,Monday   ,8,,WASHINGTON ST,42.34905564,-71.15049917,"(42.34905564195639, -71.1504991731562)"
262001012,3006,,SICK/INJURED/MEDICAL - PERSON,E18,498,0,2026-01-05 08:51:00+00,2026,1,Monday   ,8,,FIELDMONT ST,42.27209423,-71.11778588,"(42.272094230658745, -71.11778587637957)"
262001017,1831,,SICK ASSIST,A7,8,0,2026-01-05 08:56:00+00,2026,1,Monday   ,8,,ORIENT AVE,42.39035268,-71.00519136,"(42.39035268237498, -71.00519135847232)"
262001043,3114,,INVESTIGATE PROPERTY,D4,283,0,2026-01-05 08:56:00+00,2026,1,Monday   ,8,,FORSYTH ST,42.33775471,-71.08980757,"(42.33775471352402, -71.0898075696959)"
262001018,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,469,0,2026-01-05 08:58:00+00,2026,1,Monday   ,8,,TENNIS RD,42.27615649,-71.09550374,"(42.2761564913392, -71.0955037433664)"
262001044,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,469,0,2026-01-05 08:58:00+00,2026,1,Monday   ,8,,TENNIS RD,42.27615649,-71.09550374,"(42.2761564913392, -71.0955037433664)"
262001038,3410,,TOWED MOTOR VEHICLE,D4,167,0,2026-01-05 09:00:00+00,2026,1,Monday   ,9,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
262001123,616,,LARCENY THEFT OF BICYCLE,B2,612,0,2026-01-05 09:00:00+00,2026,1,Monday   ,9,,LONGWOOD AVE,42.3374411,-71.10428155,"(42.33744110160638, -71.10428155132621)"
262001075,3115,,INVESTIGATE PERSON,D14,778,0,2026-01-05 09:04:00+00,2026,1,Monday   ,9,,WASHINGTON ST,42.34905564,-71.15049917,"(42.34905564195639, -71.1504991731562)"
262001033,617,,LARCENY THEFT FROM BUILDING,D4,143,0,2026-01-05 09:11:00+00,2026,1,Monday   ,9,,BOYLSTON ST,42.34862337,-71.08277689,"(42.34862336851335, -71.08277689315231)"
262001016,3007,,SUDDEN DEATH,D14,784,0,2026-01-05 09:22:00+00,2026,1,Monday   ,9,,COMMONWEALTH AVE,42.34822704,-71.14075328,"(42.34822704209203, -71.14075327504865)"
262001034,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,273,0,2026-01-05 09:25:00+00,2026,1,Monday   ,9,,"NORTHAMPTON ST & SHAWMUT AVE
ROXBURY, MA 02118
UNI",42.33690159,-71.07871849,"(42.33690158736705, -71.0787184936909)"
262001014,3410,,TOWED MOTOR VEHICLE,B2,901,0,2026-01-05 09:27:00+00,2026,1,Monday   ,9,,SMITH ST,42.33412967,-71.09976692,"(42.33412966727238, -71.09976691717623)"
262001023,3807,,M/V ACCIDENT - OTHER CITY VEHICLE,E18,496,0,2026-01-05 09:32:00+00,2026,1,Monday   ,9,,HUNTINGTON AVE,42.26886927,-71.11802644,"(42.26886927115715, -71.11802643823441)"
262001027,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B3,426,0,2026-01-05 09:34:00+00,2026,1,Monday   ,9,,RIVER ST,42.26956647,-71.09075121,"(42.26956646587128, -71.09075120965805)"
262001036,3501,,MISSING PERSON,B3,427,0,2026-01-05 09:51:00+00,2026,1,Monday   ,9,,BLUE HILL AVE,42.27891765,-71.0931419,"(42.2789176472634, -71.09314190098603)"
262001032,613,,LARCENY SHOPLIFTING,E5,562,0,2026-01-05 09:54:00+00,2026,1,Monday   ,9,,WASHINGTON ST,42.28788894,-71.12658661,"(42.28788894494422, -71.12658660943728)"
262001035,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,718,0,2026-01-05 09:59:00+00,2026,1,Monday   ,9,,ANSONIA RD,42.27222506,-71.16335263,"(42.272225058136904, -71.1633526344404)"
262001053,3207,,PROPERTY - FOUND,A1,77,0,2026-01-05 10:00:00+00,2026,1,Monday   ,10,,SUDBURY ST,,,
262001074,3115,,INVESTIGATE PERSON,A7,24,0,2026-01-05 10:07:00+00,2026,1,Monday   ,10,,TRENTON ST,42.37817866,-71.03833906,"(42.37817865523734, -71.03833906338754)"
262001040,3115,,INVESTIGATE PERSON,E5,550,0,2026-01-05 10:33:00+00,2026,1,Monday   ,10,,BLUE LEDGE DR,42.27620145,-71.13789,"(42.2762014463856, -71.13788999515782)"
262001047,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4,162,0,2026-01-05 10:36:00+00,2026,1,Monday   ,10,,HERALD ST,42.34675542,-71.06521319,"(42.346755420690755, -71.06521318875032)"
262001041,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,200,0,2026-01-05 10:43:00+00,2026,1,Monday   ,10,,W BROADWAY,42.34128702,-71.0546798,"(42.34128702104515, -71.05467980204799)"
262001051,540,,BURGLARY - COMMERICAL,B3,439,0,2026-01-05 10:45:00+00,2026,1,Monday   ,10,,CALLENDER ST,42.28848243,-71.08259067,"(42.288482428752864, -71.08259066527782)"
262001060,613,,LARCENY SHOPLIFTING,A1,103,0,2026-01-05 11:12:00+00,2026,1,Monday   ,11,,WASHINGTON ST,42.35680027,-71.0589307,"(42.356800272786785, -71.05893069821927)"
262001059,3402,,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",C11,359,0,2026-01-05 11:15:00+00,2026,1,Monday   ,11,,"PARK ST & WALDECK ST
BOSTON, MA 02124
UNITED STATE",42.29686754,-71.06700865,"(42.29686754069855, -71.06700865298956)"
262001054,3205,,M/V PLATES - LOST,E5,691,0,2026-01-05 11:29:00+00,2026,1,Monday   ,11,,CENTRE ST,42.2870932,-71.14822209,"(42.28709320338153, -71.14822209118665)"
262001070,3503,,MISSING PERSON - NOT REPORTED - LOCATED,B2,901,0,2026-01-05 11:44:00+00,2026,1,Monday   ,11,,"HORADAN WAY & SAINT ALPHONSUS ST
ROXBURY, MA 02120",42.3349606,-71.10004653,"(42.334960595800425, -71.10004653452532)"
